train_loss,train_accuracy,validation_loss,validation_accuracy,epochs,learning_rate,train_time,batch_size,conv_layers_number,dropout_1
1.0741316033160593,0.830079920070904,1.1040103435516357,0.7986453201970444,150,0.000775567711707215,510796191 microseconds,32,1,0.07250112911938766
1.091325469315052,0.8143975199851927,1.1079615354537964,0.7955665024630542,150,0.0009758833192070899,67015482 microseconds,256,1,0.20017323308546386
1.099979653954506,0.8055802718840419,1.1144055128097534,0.7875615763546798,150,0.0009111997565305135,66215713 microseconds,256,1,0.3298690791013913
1.0921919512467122,0.8130695717628647,1.1175533533096313,0.7838669950738916,150,0.0003076676210641218,511091042 microseconds,32,1,0.16560348495567412
1.0955734515753317,0.8085627912267422,1.1180599927902222,0.7881773399014779,150,0.0002852291118849056,511465358 microseconds,32,1,0.29605754230354175
1.10239285254103,0.8031654810214272,1.120742917060852,0.7838669950738916,150,0.0004977296887478485,512250975 microseconds,32,1,0.4059348542935667
1.09574291954829,0.8079113017802741,1.122689127922058,0.7814039408866995,150,0.0004968907673052904,511593425 microseconds,32,1,0.3267155204732134
1.1066926792263985,0.7981028334973607,1.1233989000320435,0.7795566502463054,150,0.0009115396421189452,130487120 microseconds,128,1,0.35201239328988376
1.1237924937158823,0.7820677770293232,1.1354371309280396,0.7733990147783252,150,0.0006400915104065766,129515933 microseconds,128,1,0.6118076213664553
1.105500197316718,0.7969657366341198,1.1357388496398926,0.7684729064039408,150,0.0009019835504471479,511765497 microseconds,32,1,0.41394286187504803
1.140578854829073,0.76825497245195,1.1513324975967407,0.7592364532019704,150,0.0002754843747512148,130592912 microseconds,128,1,0.5637120482392081
1.1422208175063133,0.7664232989551563,1.1547067165374756,0.7555418719211823,150,0.0005939830003629567,35605229 microseconds,512,1,0.37363517982846295
1.1882204972207546,0.7208077194879932,1.1985719203948975,0.7099753694581281,150,0.00022240040484350462,66159228 microseconds,256,1,0.20990554841835174
1.1977333649992943,0.7076195474133321,1.2104730606079102,0.6915024630541872,150,0.0004682587194989492,33654807 microseconds,512,1,0.8245706345750391
1.1991003844887018,0.7050928825068904,1.215853214263916,0.6915024630541872,150,0.0003542512807560972,131066238 microseconds,128,1,0.8754326830293181
1.2166106533259153,0.6820685213914708,1.2274911403656006,0.6754926108374384,150,0.0007014875653279987,131514858 microseconds,128,1,0.889134408545942
1.2448339035191873,0.6562355534229738,1.2619507312774658,0.6354679802955665,150,0.0009232482550760111,515165763 microseconds,32,1,0.9013985659754455
1.272944763302803,0.6303864956172567,1.2802382707595825,0.6188423645320197,150,0.00015141923837390365,34333639 microseconds,512,1,0.30736500140968503
1.3199055511504412,0.5773020121333896,1.3227468729019165,0.5738916256157636,150,0.0005164754022932924,130946350 microseconds,128,1,0.9643721399226706
1.3196639195084572,0.5778294044744328,1.3338319063186646,0.5658866995073891,150,0.0009743783851509946,66345329 microseconds,256,1,0.9674550969663265
